taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
phi,2023-12-12,2023-12-12,exact_day,10,50,gpt_neox,2022-04-14,607,21,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,attention_projection|ffn_core,gpt_neox:altup|attention_family|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap;qwen:attention_output_gating|attention_pattern|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope,qwen,2023-08-03,131,27,0.6500,0.6500,13,20,1,0,0.2500,gpt_neox:13;qwen:5;gpt2:1;stablelm:1
deepseek,2024-01-08,2024-01-08,exact_day,11,62,mixtral,2023-12-11,28,55,2,58,4,4.00,5.80,4.00,13.80,13.80,0.00,moe_distribution|moe_schedule_type|has_shared_expert|shared_branch_merge_mode,mixtral:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;phi:kv_layout|output_head_connection|tie_embeddings_configurable,mixtral,2023-12-11,28,55,1.0000,1.0000,20,20,1,1,1.0000,mixtral:20
phixtral,2024-01-08,2024-01-08,exact_day,11,60,mixtral,2023-12-11,28,6,2,57,3,4.00,5.70,3.00,12.70,12.70,0.00,kv_layout|residual_scheme|ffn_activation_core,gpt_neox:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;mixtral:has_moe|moe_distribution|moe_schedule_type|moe_subtype|projection_bias_scheme|router_activation,gpt_neox,2022-04-14,634,51,0.7000,0.7000,14,20,1,0,0.3000,mixtral:14;gpt_neox:6
internlm2,2024-01-17,2024-01-17,exact_day,13,50,nemotron,2023-11-14,64,,2,48,2,4.00,4.80,2.00,10.80,11.50,0.70,attention_projection|positional_encoding,nemotron:bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|rglru_recurrence|rope_parameterization|rope_partition_detail|state_update_rule|tie_embeddings_configurable;plamo:altup|attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|norm_scheme|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,plamo,2023-09-28,111,28,0.3000,0.3000,6,20,0,0,0.2500,nemotron:6;plamo:5;mixtral:4;llama:2;mamba:2;qwen:1
minicpm,2024-02-01,2024-02-01,exact_day,14,50,llama,2023-02-27,339,45,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_update_rule,deepseek:altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_lora_present|kv_reuse_attention|modality|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|qk_norm|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;llama:attention_family|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|ngram_memory|periodic_no_rope_layers|q_lora_present|residual_scheme|rope_parameterization|stack_topology|tie_embeddings_configurable,deepseek,2024-01-08,24,29,0.2500,0.2500,5,20,1,1,0.2500,deepseek:5;llama:5;mixtral:4;stablelm:3;internlm2:2;qwen:1
olmo,2024-02-01,2024-02-01,exact_day,14,50,plamo,2023-09-28,126,44,1,44,6,2.00,4.40,6.00,12.40,12.40,0.00,attention_family|attention_projection|norm_scheme|block_norm_variant|ffn_core|ffn_projection_style,plamo:altup|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,plamo,2023-09-28,126,44,0.8000,0.8000,16,20,1,1,0.8000,plamo:16;phixtral:3;internlm2:1
gemma,2024-02-21,2024-02-21,exact_day,16,50,llama,2023-02-27,359,,2,47,3,4.00,4.70,3.00,11.70,11.70,0.00,norm_scheme|block_norm_variant|ffn_activation_core,deepseek:attention_projection|conv_on_kv|cross_layer_kv_sharing|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|ngram_memory|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|windowed_rope_scope;gpt2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|dual_attention_modules|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|window_schedule_detail,gpt2,2019-02-14,1833,26,0.2500,0.2500,5,20,0,0,0.1000,gpt_bigcode:5;llama:5;stablelm:4;gpt2:2;deepseek:1;gpt_neox:1;minicpm:1;plamo:1
bitnet,2024-02-27,2024-02-27,exact_day,17,50,llama,2023-02-27,365,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,attention_pattern|window_schedule_detail|ffn_activation_core|bitlinear_weights,llama:altup|attention_family|attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,llama,2023-02-27,365,46,0.6500,0.6500,13,20,1,1,0.6500,llama:13;minicpm:4;mixtral:3
starcoder2,2024-02-28,2024-02-28,exact_day,18,50,gpt_bigcode,2022-12-22,433,23,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,lm_head_bias,gpt_bigcode:altup|bitlinear_weights|block_norm_variant|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|ngram_memory|norm_scheme|projection_bias_scheme|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope;minicpm:attention_family|attention_output_gating|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|laurel|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|residual_scheme|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail,gpt_bigcode,2022-12-22,433,25,0.4500,0.4500,9,20,1,0,0.0500,gpt_bigcode:9;phi:5;bitnet:3;gemma:2;minicpm:1
cohere,2024-03-11,2024-03-11,exact_day,19,51,phi,2023-12-12,90,29,2,48,3,4.00,4.80,3.00,11.80,12.70,0.90,qk_norm|qk_norm_detail|uses_logit_scale,llama:ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_moe|kv_reuse_attention|lm_head_bias|modality|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope;phi:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|norm_scheme|optional_nope|q_lora_present|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|window_schedule_detail,phi,2023-12-12,90,29,0.3500,0.3500,7,20,1,1,0.3500,phi:7;llama:4;stablelm:3;gemma:2;gpt2:2;deepseek:1;plamo:1
