taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
dbrx,2024-03-27,2024-03-27,exact_day,20,60,phixtral,2024-01-08,79,34,2,60,0,4.00,6.00,0.00,10.00,10.00,0.00,,deepseek:attention_family|attention_pattern|chunked_kv_cache|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_moe|laurel|lm_head_bias|moe_subtype|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rope_partition_detail|router_activation|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail;phixtral:altup|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|modality|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|periodic_no_rope_layers|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation_configurable|shared_expert_configurable|stack_topology|uses_logit_scale|windowed_rope_scope|zero_expert_option,phixtral,2024-01-08,79,33,0.7000,0.7000,14,20,1,1,0.7000,phixtral:14;qwen:3;deepseek:2;plamo:1
jamba,2024-03-28,2024-03-28,exact_day,21,55,mamba,2023-12-01,118,43,2,48,7,4.00,4.80,7.00,15.80,15.80,0.00,stack_topology|attention_family|kv_layout|attention_pattern|hybrid_block_schedule|moe_schedule_type|moe_subtype,deepseek:attention_projection|ffn_core|has_moe|moe_distribution|router_activation;mamba:altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,mamba,2023-12-01,118,43,0.7000,0.7000,14,20,1,1,0.7000,mamba:14;deepseek:5;starcoder2:1
recurrent_gemma,2024-04-06,2024-04-06,exact_day,22,50,gemma,2024-02-21,48,19,2,43,7,4.00,4.30,7.00,15.30,15.30,0.00,stack_topology|state_update_rule|projection_bias_scheme|attention_pattern|hybrid_block_schedule|ffn_activation_core|rglru_recurrence,gemma:altup|attention_projection|bitlinear_weights|block_norm_variant|dual_attention_modules|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_reuse_attention|ngram_memory|norm_scheme|q_lora_present|residual_update_rule|rope_parameterization|uses_logit_softcap|windowed_rope_scope;qwen:attention_family|attention_output_gating|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|kv_lora_present|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|qk_norm|residual_scheme|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail,qwen,2023-08-03,247,24,0.3500,0.3500,7,20,1,0,0.3000,gemma:7;phi:7;qwen:6
phi3,2024-04-22,2024-04-22,exact_day,23,50,internlm2,2024-01-17,96,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,attention_projection|positional_encoding|residual_scheme|ffn_projection_style,internlm2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,internlm2,2024-01-17,96,46,0.7500,0.7500,15,20,1,1,0.7500,internlm2:15;minicpm:3;mixtral:2
openelm,2024-04-24,2024-04-24,exact_day,24,51,plamo,2023-09-28,209,,2,48,3,4.00,4.80,3.00,11.80,11.80,0.00,qk_norm|qk_norm_detail|tie_embeddings_default,phi3:altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_lora_present|lm_head_bias|ngram_memory|norm_scheme|output_head_connection|projection_bias_scheme|q_lora_present|rope_partition_detail|secondary_token_mixer|state_update_rule|uses_logit_softcap|windowed_rope_scope;plamo:attention_output_gating|block_norm_variant|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|modality|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|stack_topology|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,plamo,2023-09-28,209,25,0.5000,0.5000,10,20,0,0,0.2500,plamo:10;phi3:5;cohere:4;gemma:1
deepseek_v2,2024-05-06,2024-05-06,exact_day,25,62,deepseek,2024-01-08,119,55,1,55,7,2.00,5.50,7.00,14.50,14.50,0.00,attention_family|attention_projection|q_lora_present|kv_lora_present|kv_layout|positional_encoding|rope_partition_detail,deepseek:altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek,2024-01-08,119,55,1.0000,1.0000,20,20,1,1,1.0000,deepseek:20
phi3small,2024-05-07,2024-05-07,exact_day,26,50,gpt2,2019-02-14,1909,47,1,47,3,2.00,4.70,3.00,9.70,9.70,0.00,positional_encoding|ffn_projection_style|ffn_activation_core,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,2019-02-14,1909,47,1.0000,1.0000,20,20,1,1,1.0000,gpt2:20
mamba2,2024-05-31,2024-05-31,exact_day,27,44,mamba,2023-12-01,182,40,1,40,4,2.00,4.00,4.00,10.00,10.00,0.00,attention_projection|norm_scheme|ffn_core|lm_head_bias,mamba:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail,mamba,2023-12-01,182,40,1.0000,1.0000,20,20,1,1,1.0000,mamba:20
glm,2024-06-05,2024-06-05,exact_day,28,50,llama,2023-02-27,464,31,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,ffn_core,llama:altup|attention_family|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_activation_core|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_reuse_attention|laurel|modality|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_partition_detail|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|windowed_rope_scope;phi3small:attention_output_gating|attention_pattern|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|optional_nope|positional_encoding|residual_scheme|residual_update_rule|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail,llama,2023-02-27,464,25,0.2000,0.2000,4,20,1,1,0.2000,llama:4;bitnet:3;mamba:2;openelm:2;phi3:2;phi3small:2;gemma:1;minicpm:1;olmo:1;phi:1;starcoder2:1
qwen2,2024-06-07,2024-06-07,exact_day,29,50,bitnet,2024-02-27,101,22,2,50,0,4.00,5.00,0.00,9.00,9.90,0.90,,llama:attention_projection|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_lora_present|laurel|modality|norm_scheme|optional_nope|positional_encoding|q_lora_present|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope;qwen:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|ffn_core|gated_delta_net|has_moe|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail,llama,2023-02-27,466,26,0.4500,0.4500,9,20,1,0,0.2500,bitnet:9;qwen:5;llama:4;jamba:1;starcoder2:1
qwen2_moe,2024-06-07,2024-06-07,exact_day,29,62,mixtral,2023-12-11,179,38,2,59,3,4.00,5.90,3.00,12.90,12.90,0.00,projection_bias_scheme|has_shared_expert|shared_branch_merge_mode,mixtral:altup|attention_pattern|bitlinear_weights|block_norm_variant|coefficient_mix_shared_routed|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_activation_core|grouped_expert_selection|has_moe|hybrid_block_schedule|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|optional_nope|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;recurrent_gemma:attention_family|attention_output_gating|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|router_activation_configurable|same_block_attention_ssm|tie_embeddings_default,mixtral,2023-12-11,179,36,0.8000,0.8000,16,20,1,1,0.8000,mixtral:16;deepseek:2;jamba:1;qwen:1
glm4,2024-06-18,2024-06-18,exact_day,31,50,glm,2024-06-05,13,22,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_scheme,glm:bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|uses_logit_scale;phi:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|modality|ngram_memory|output_head_connection|positional_encoding|residual_update_rule|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,glm,2024-06-05,13,26,0.6500,0.6500,13,20,1,0,0.1500,glm:13;phi:3;stablelm:3;openelm:1
gemma2,2024-06-27,2024-06-27,exact_day,32,50,gemma,2024-02-21,127,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,attention_family|residual_scheme|ffn_activation_core|output_head_connection|uses_logit_softcap,gemma:altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,gemma,2024-02-21,127,45,0.9500,0.9500,19,20,1,1,0.9500,gemma:19;olmo:1
exaone,2024-08-07,2024-08-07,exact_day,33,50,llama,2023-02-27,527,25,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,llama:attention_family|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|rope_parameterization|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap;qwen:altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|global_plus_linear_attention_mix|laurel|ngram_memory|norm_scheme|optional_nope|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|state_update_rule|window_schedule_detail|windowed_rope_scope,llama,2023-02-27,527,29,0.3000,0.3000,6,20,1,0,0.1000,bitnet:6;llama:6;internlm2:2;qwen:2;glm:1;minicpm:1;mixtral:1;qwen2:1
phimoe,2024-08-17,2024-08-17,exact_day,34,60,mixtral,2023-12-11,250,32,2,58,2,4.00,5.80,2.00,11.80,12.70,0.90,positional_encoding|block_norm_variant,mixtral:attention_family|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|ffn_activation_core|has_aux_relu2_gate|has_moe|kv_layout|kv_reuse_attention|laurel|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;qwen:altup|attention_output_gating|attention_pattern|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|lm_head_bias|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|residual_update_rule|rope_partition_detail|stack_topology|tie_embeddings_configurable|uses_logit_scale|zero_expert_option,mixtral,2023-12-11,250,31,0.7000,0.7000,14,20,1,1,0.7000,mixtral:14;qwen:3;qwen2_moe:2;dbrx:1
granite,2024-08-23,2024-08-23,exact_day,35,50,minicpm,2024-02-01,263,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,tie_embeddings_default|output_head_connection,minicpm:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,minicpm,2024-02-01,204,48,0.6000,0.6000,12,20,1,1,0.6000,minicpm:12;bitnet:2;exaone:2;olmoe:2;glm:1;llama:1
granitemoe,2024-08-23,2024-08-23,exact_day,35,60,mixtral,2023-12-11,315,57,1,57,3,2.00,5.70,3.00,10.70,10.70,0.00,kv_layout|residual_update_rule|tie_embeddings_default,mixtral:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,mixtral,2023-12-11,256,57,0.9000,0.9000,18,20,1,1,0.9000,mixtral:18;olmoe:2
olmoe,2024-09-04,2024-09-04,exact_day,37,61,qwen2_moe,2024-06-07,89,36,2,59,2,4.00,5.90,2.00,11.90,11.90,0.00,moe_subtype|router_activation,openelm:attention_pattern|cross_layer_kv_sharing|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|lm_head_bias|modality|norm_scheme|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_partition_detail|secondary_token_mixer|tie_embeddings_default|windowed_rope_scope;qwen2_moe:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|moe_distribution|moe_schedule_type|ngram_memory|optional_nope|residual_scheme|rope_parameterization|router_activation_configurable|same_block_attention_ssm|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,qwen2_moe,2024-06-07,89,35,0.7000,0.7000,14,20,1,1,0.7000,qwen2_moe:14;mixtral:3;openelm:3
minicpm3,2024-09-05,2024-09-05,exact_day,38,50,deepseek_v2,2024-05-06,122,45,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,residual_update_rule,deepseek_v2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;phi3:has_moe|output_head_connection|positional_encoding|tie_embeddings_configurable,deepseek_v2,2024-05-06,122,45,1.0000,1.0000,20,20,1,1,1.0000,deepseek_v2:20
nemotron-nas,2024-09-23,2024-09-23,exact_day,39,50,mixtral,2023-12-11,287,,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,kv_layout|ffn_activation_core,mamba2:altup|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|has_aux_silu_gate|has_moe|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|ngram_memory|norm_scheme|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope;mixtral:attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|qk_norm|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,mixtral,2023-12-11,287,25,0.3500,0.3500,7,20,0,0,0.0500,mixtral:7;exaone:5;deepseek:4;nemotron:2;mamba2:1;minicpm3:1
rwkv7,2024-09-23,2024-09-23,exact_day,39,45,dbrx,2024-03-27,180,21,2,41,4,4.00,4.10,4.00,12.10,12.10,0.00,stack_topology|state_update_rule|attention_family|ffn_activation_core,dbrx:altup|attention_pattern|bitlinear_weights|block_norm_variant|dual_attention_modules|global_plus_linear_attention_mix|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|qk_norm|residual_update_rule|rglru_recurrence|tie_embeddings_default|uses_logit_softcap;mamba:attention_output_gating|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_moe|laurel|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,dbrx,2024-03-27,180,21,0.4500,0.4500,9,20,1,1,0.4500,dbrx:9;mamba:6;olmo:2;phixtral:2;stablelm:1
olmo2,2024-11-26,2024-11-26,exact_day,41,51,olmoe,2024-09-04,83,49,1,49,2,2.00,4.90,2.00,8.90,8.90,0.00,residual_scheme|has_moe,olmoe:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,olmoe,2024-09-04,83,49,1.0000,1.0000,20,20,1,1,1.0000,olmoe:20
cohere2,2024-12-11,2024-12-11,exact_day,42,50,cohere,2024-03-11,275,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,kv_layout|attention_pattern|window_schedule_detail|windowed_rope_scope|qk_norm,cohere:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,cohere,2024-03-11,275,45,0.9500,0.9500,19,20,1,1,0.9500,cohere:19;stablelm:1
